id;note_1;note_2;note_3;vertical;tonality_maj;base_chord;chord_type;order;prima_location;inversion;interval;NN;mel_desc;sci_not;sci_uniq;chord_maj
E_Gs_min3_E_V;E4;G#4;;True;False;E_V;;;;;Большая терция;122;;E4_Gs4;E4_Gs4_ver;
Gs_B_maj3_E_V;;G#4;B4;True;False;E_V;;;;;Малая терция;123;;Gs4_B4;Gs4_B4_ver;
E_B_perf5_E_V;E4;;B4;True;False;E_V;;;;;Квинта;124;;E4_B4;E4_B4_ver;
E_V6;G#4;B4;E5;True;False;E_V6;Доминантовый секстаккорд;0;Наверху;Первое обращение;;125;;Gs4_B4_E5;Gs4_B4_E5_ver;True
Gs_B_maj3_E_V6;G#4;B4;;True;False;E_V6;;;;;Малая терция;126;;Gs4_B4;Gs4_B4_ver;
B_E_perf4_E_V6;;B4;E5;True;False;E_V6;;;;;Кварта;127;;B4_E5;B4_E5_ver;
Gs_E_maj6_E_V6;G#4;;E5;True;False;E_V6;;;;;Малая секста;128;;Gs4_E5;Gs4_E5_ver;
E_V64;B4;E5;G#5;True;False;E_V64;Доминантовый квартсекстаккорд;0;В середине;Второе обращение;;129;;B4_E5_Gs5;B4_E5_Gs5_ver;True
B_E_perf4_E_V64;B4;E5;;True;False;E_V64;;;;;Кварта;130;;B4_E5;B4_E5_ver;
E_Gs_min3_E_V64;;E5;G#5;True;False;E_V64;;;;;Большая терция;131;;E5_Gs5;E5_Gs5_ver;
B_Gs_min6_E_V64;B4;;G#5;True;False;E_V64;;;;;Большая секста;132;;B4_Gs5;B4_Gs5_ver;
E_V_arp;E4;G#4;B4;False;False;E_V_arp;Доминантовое трезвучие;7;Внизу;Основной вид;;133;;E4_Gs4_B4;E4_Gs4_B4;True
E_Gs_min3_E_V_mel;E4;G#4;;False;False;E_V_arp;;;;;Большая терция;134;False;E4_Gs4;E4_Gs4;
Gs_B_maj3_E_V_mel;;G#4;B4;False;False;E_V_arp;;;;;Малая терция;135;False;Gs4_B4;Gs4_B4;
E_B_perf5_E_V_mel;E4;;B4;False;False;E_V_arp;;;;;Квинта;136;False;E4_B4;E4_B4;
E_V6_arp;G#4;B4;E5;False;False;E_V6_arp;Доминантовый секстаккорд;8;Наверху;Первое обращение;;137;;Gs4_B4_E5;Gs4_B4_E5;True
Gs_B_maj3_E_V6_mel;G#4;B4;;False;False;E_V6_arp;;;;;Малая терция;138;False;Gs4_B4;Gs4_B4;
B_E_perf4_E_V6_mel;;B4;E5;False;False;E_V6_arp;;;;;Кварта;139;False;B4_E5;B4_E5;
