name;base_chord;note_1;note_2;note_3;vertical;tonality_maj;chord_type;order;prima_location;inversion;interval;NN;mel_desc;sci_not;sci_uniq
E_C_min6_Am_I64_mel;Am_I64_arp;E4;;C5;False;False;;;;;Малая секста;96;False;E4_C5;E4_C5
Dm_IV;Dm_IV;D4;F4;A4;True;False;Субдоминантовое трезвучие;0;Внизу;Основной вид;;97;False;D4_F4_A4;D4_F4_A4_ver
D_F_min3_Dm_IV;Dm_IV;D4;F4;;True;False;;;;;Малая терция;98;False;D4_F4;D4_F4_ver
F_A_maj3_Dm_IV;Dm_IV;;F4;A4;True;False;;;;;Большая терция;99;False;F4_A4;F4_A4_ver
D_F_perf5_Dm_IV;Dm_IV;D4;;A4;True;False;;;;;Квинта;100;False;D4_A4;D4_A4_ver
Dm_IV6;Dm_IV6;F4;A4;D5;True;False;Субдоминантовый секстаккорд;0;Наверху;Первое обращение;;101;False;F4_A4_D5;F4_A4_D5_ver
F_A_maj3_Dm_IV6;Dm_IV6;F4;A4;;True;False;;;;;Большая терция;102;False;F4_A4;F4_A4_ver
A_D_perf4_Dm_IV6;Dm_IV6;;A4;D5;True;False;;;;;Кварта;103;False;A4_D5;A4_D5_ver
F_D_maj6_Dm_IV6;Dm_IV6;F4;;D5;True;False;;;;;Большая секста;104;False;F4_D5;F4_D5_ver
Dm_IV64;Dm_IV64;A4;D5;F5;True;False;Субдоминантовый квартсекстаккорд;0;В середине;Второе обращение;;105;False;A4_D5_F5;A4_D5_F5_ver
A_D_perf4_Dm_IV64;Dm_IV64;A4;D5;;True;False;;;;;Кварта;106;False;A4_D5;A4_D5_ver
D_F_min3_Dm_IV64;Dm_IV64;;D5;F5;True;False;;;;;Малая терция;107;False;D5_F5;D5_F5_ver
A_F_min6_Dm_IV64;Dm_IV64;A4;;F5;True;False;;;;;Малая секста;108;False;A4_F5;A4_F5_ver
Dm_IV_arp;Dm_IV_arp;D4;F4;A4;False;False;Субдоминантовое трезвучие;4;Внизу;Основной вид;;109;False;D4_F4_A4;D4_F4_A4
D_F_min3_Dm_IV_mel;Dm_IV_arp;D4;F4;;False;False;;;;;Малая терция;110;False;D4_F4;D4_F4
F_A_maj3_Dm_IV_mel;Dm_IV_arp;;F4;A4;False;False;;;;;Большая терция;111;False;F4_A4;F4_A4
D_F_perf5_Dm_IV_mel;Dm_IV_arp;D4;;A4;False;False;;;;;Квинта;112;False;D4_A4;D4_A4
Dm_IV6_arp;Dm_IV6_arp;F4;A4;D5;False;False;Субдоминантовый секстаккорд;5;Наверху;Первое обращение;;113;False;F4_A4_D5;F4_A4_D5
F_A_maj3_Dm_IV6_mel;Dm_IV6_arp;F4;A4;;False;False;;;;;Большая терция;114;False;F4_A4;F4_A4
A_D_perf4_Dm_IV6_mel;Dm_IV6_arp;;A4;D5;False;False;;;;;Кварта;115;False;A4_D5;A4_D5
F_D_maj6_Dm_IV6_mel;Dm_IV6_arp;F4;;D5;False;False;;;;;Большая секста;116;False;F4_D5;F4_D5
Dm_IV64_arp;Dm_IV64_arp;A4;D5;F5;False;False;Субдоминантовый квартсекстаккорд;6;В середине;Второе обращение;;117;False;A4_D5_F5;A4_D5_F5
A_D_perf4_Dm_IV64_mel;Dm_IV64_arp;A4;D5;;False;False;;;;;Кварта;118;False;A4_D5;A4_D5
D_F_min3_Dm_IV64_mel;Dm_IV64_arp;;D5;F5;False;False;;;;;Малая терция;119;False;D5_F5;D5_F5
A_F_min6_Dm_IV64_mel;Dm_IV64_arp;A4;;F5;False;False;;;;;Малая секста;120;False;A4_F5;A4_F5
E_V;E_V;E4;G#4;B4;True;False;Доминантовое трезвучие;0;Внизу;Основной вид;;121;False;E4_G#4_B4;E4_G#4_B4_ver
E_G#_min3_E_V;E_V;E4;G#4;;True;False;;;;;Малая терция;122;False;E4_G#4;E4_G#4_ver
G#_B_maj3_E_V;E_V;;G#4;B4;True;False;;;;;Большая терция;123;False;G#4_B4;G#4_B4_ver
E_B_perf5_E_V;E_V;E4;;B4;True;False;;;;;Квинта;124;False;E4_B4;E4_B4_ver
E_V6;E_V6;G#4;B4;E5;True;False;Доминантовый секстаккорд;0;Наверху;Первое обращение;;125;False;G#4_B4_E5;G#4_B4_E5_ver
G#_B_maj3_E_V6;E_V6;G#4;B4;;True;False;;;;;Большая терция;126;False;G#4_B4;G#4_B4_ver
B_E_perf4_E_V6;E_V6;;B4;E5;True;False;;;;;Кварта;127;False;B4_E5;B4_E5_ver
G#_E_maj6_E_V6;E_V6;G#4;;E5;True;False;;;;;Большая секста;128;False;G#4_E5;G#4_E5_ver
E_V64;E_V64;B4;E5;G#5;True;False;Доминантовый квартсекстаккорд;0;В середине;Второе обращение;;129;False;B4_E5_G#5;B4_E5_G#5_ver
B_E_perf4_E_V64;E_V64;B4;E5;;True;False;;;;;Кварта;130;False;B4_E5;B4_E5_ver
E_G#_min3_E_V64;E_V64;;E5;G#5;True;False;;;;;Малая терция;131;False;E5_G#5;E5_G#5_ver
B_G#_min6_E_V64;E_V64;B4;;G#5;True;False;;;;;Малая секста;132;False;B4_G#5;B4_G#5_ver
E_V_arp;E_V_arp;E4;G#4;B4;False;False;Доминантовое трезвучие;7;Внизу;Основной вид;;133;False;E4_G#4_B4;E4_G#4_B4
E_G#_min3_E_V_mel;E_V_arp;E4;G#4;;False;False;;;;;Малая терция;134;False;E4_G#4;E4_G#4
G#_B_maj3_E_V_mel;E_V_arp;;G#4;B4;False;False;;;;;Большая терция;135;False;G#4_B4;G#4_B4
E_B_perf5_E_V_mel;E_V_arp;E4;;B4;False;False;;;;;Квинта;136;False;E4_B4;E4_B4
E_V6_arp;E_V6_arp;G#4;B4;E5;False;False;Доминантовый секстаккорд;8;Наверху;Первое обращение;;137;False;G#4_B4_E5;G#4_B4_E5
G#_B_maj3_E_V6_mel;E_V6_arp;G#4;B4;;False;False;;;;;Большая терция;138;False;G#4_B4;G#4_B4
B_E_perf4_E_V6_mel;E_V6_arp;;B4;E5;False;False;;;;;Кварта;139;False;B4_E5;B4_E5
G#_E_maj6_E_V6_mel;E_V6_arp;G#4;;E5;False;False;;;;;Большая секста;140;False;G#4_E5;G#4_E5
E_V64_arp;E_V64_arp;B4;E5;G#5;False;False;Доминантовый квартсекстаккорд;9;В середине;Второе обращение;;141;False;B4_E5_G#5;B4_E5_G#5
B_E_perf4_E_V64_mel;E_V64_arp;B4;E5;;False;False;;;;;Кварта;142;False;B4_E5;B4_E5
E_G#_min3_E_V64_mel;E_V64_arp;;E5;G#5;False;False;;;;;Малая терция;143;False;E5_G#5;E5_G#5
B_G#_min6_E_V64_mel;E_V64_arp;B4;;G#5;False;False;;;;;Малая секста;144;False;B4_G#5;B4_G#5
E_A_perf4_Am_I6_mel_desc;Am_I6_arp;;A4;E4;False;False;;;;;;145;True;A4_E4;A4_E4
F_A_maj3_Dm_IV_mel_desc;Dm_IV_arp;;A4;F4;False;False;;;;;;146;True;A4_F4;A4_F4
C_A_maj6_Am_I6_mel_desc;Am_I6_arp;A4;;C4;False;False;;;;;;147;True;A4_C4;A4_C4
D_F_perf5_Dm_IV_mel_desc;Dm_IV_arp;A4;;D4;False;False;;;;;;148;True;A4_D4;A4_D4
F_A_maj3_F_IV64_mel_desc;F_IV64_arp;;A5;F5;False;True;;;;;;149;True;A5_F5;A5_F5
C_A_maj6_F_IV64_mel_desc;F_IV64_arp;A5;;C4;False;True;;;;;;150;True;A5_C4;A5_C4
G#_B_maj3_E_V_mel_desc;E_V_arp;;B4;G#4;False;False;;;;;;151;True;B4_G#4;B4_G#4
E_B_perf5_E_V_mel_desc;E_V_arp;B4;;E4;False;False;;;;;;152;True;B4_E4;B4_E4
G_B_maj3_G_V64_mel_desc;G_V64_arp;;B5;G5;False;True;;;;;;153;True;B5_G5;B5_G5
D_B_maj6_G_V64_mel_desc;G_V64_arp;B5;;D4;False;True;;;;;;154;True;B5_D4;B5_D4
A_C_min3_Am_I64_mel_desc;Am_I64_arp;;C5;A4;False;False;;;;;;155;True;C5_A4;C5_A4
A_C_min3_F_IV_mel_desc;F_IV_arp;;C5;A4;False;True;;;;;;156;True;C5_A4;C5_A4
G_C_perf4_C_I6_mel_desc;C_I6_arp;;C5;G4;False;True;;;;;;157;True;C5_G4;C5_G4
E_C_min6_Am_I64_mel_desc;Am_I64_arp;C5;;E4;False;False;;;;;;158;True;C5_E4;C5_E4
E_C_min6_C_I6_mel_desc;C_I6_arp;C5;;E4;False;True;;;;;;159;True;C5_E4;C5_E4
F_C_perf5_F_IV_mel_desc;F_IV_arp;C5;;F4;False;True;;;;;;160;True;C5_F4;C5_F4
A_D_perf4_Dm_IV6_mel_desc;Dm_IV6_arp;;D5;A4;False;False;;;;;;161;True;D5_A4;D5_A4
B_D_min3_G_V_mel_desc;G_V_arp;;D5;B4;False;True;;;;;;162;True;D5_B4;D5_B4
F_D_maj6_Dm_IV6_mel_desc;Dm_IV6_arp;D5;;F4;False;False;;;;;;163;True;D5_F4;D5_F4
G_D_perf5_G_V_mel_desc;G_V_arp;D5;;G4;False;True;;;;;;164;True;D5_G4;D5_G4
C_E_maj3_Am_I_mel_desc;Am_I_arp;;E4;C4;False;False;;;;;;165;True;E4_C4;E4_C4
A_E_perf5_Am_I_mel_desc;Am_I_arp;E4;;A3;False;False;;;;;;166;True;E4_A3;E4_A3
